Coding System (Read),Codes,Description,Entity type,Category
Read,94750998,,res67: Hypertension_Drug_Code,drug
Read,94751996,,res67: Hypertension_Drug_Code,drug
Read,94751997,,res67: Hypertension_Drug_Code,drug
Read,94751998,,res67: Hypertension_Drug_Code,drug
Read,94752998,,res67: Hypertension_Drug_Code,drug
Read,94753996,,res67: Hypertension_Drug_Code,drug
Read,94753997,,res67: Hypertension_Drug_Code,drug
Read,94753998,,res67: Hypertension_Drug_Code,drug
Read,94756990,,res67: Hypertension_Drug_Code,drug
Read,94757990,,res67: Hypertension_Drug_Code,drug
Read,94758990,,res67: Hypertension_Drug_Code,drug
Read,94766996,,res67: Hypertension_Drug_Code,drug
Read,94766997,,res67: Hypertension_Drug_Code,drug
Read,94766998,,res67: Hypertension_Drug_Code,drug
Read,94770990,,res67: Hypertension_Drug_Code,drug
Read,94774996,,res67: Hypertension_Drug_Code,drug
Read,94774997,,res67: Hypertension_Drug_Code,drug
Read,94774998,,res67: Hypertension_Drug_Code,drug
Read,94775996,,res67: Hypertension_Drug_Code,drug
Read,94775997,,res67: Hypertension_Drug_Code,drug
Read,94775998,,res67: Hypertension_Drug_Code,drug
Read,94792990,,res67: Hypertension_Drug_Code,drug
Read,94810998,,res67: Hypertension_Drug_Code,drug
Read,94825998,,res67: Hypertension_Drug_Code,drug
Read,94826996,,res67: Hypertension_Drug_Code,drug
Read,94826997,,res67: Hypertension_Drug_Code,drug
Read,94826998,,res67: Hypertension_Drug_Code,drug
Read,94833990,,res67: Hypertension_Drug_Code,drug
Read,94834990,,res67: Hypertension_Drug_Code,drug
Read,94859990,,res67: Hypertension_Drug_Code,drug
Read,94860998,,res67: Hypertension_Drug_Code,drug
Read,94867996,,res67: Hypertension_Drug_Code,drug
Read,94867997,,res67: Hypertension_Drug_Code,drug
Read,94867998,,res67: Hypertension_Drug_Code,drug
Read,94868997,,res67: Hypertension_Drug_Code,drug
Read,94868998,,res67: Hypertension_Drug_Code,drug
Read,94869990,,res67: Hypertension_Drug_Code,drug
Read,94869997,,res67: Hypertension_Drug_Code,drug
Read,94869998,,res67: Hypertension_Drug_Code,drug
